year,PPI_annual,REER_annual,GDP_growth,REER_annual_lag1,PPI_annual_lag1,GDP_growth_lag1
1980,,,5.17354100571934,,,
1981,,,5.90686776303639,,,5.17354100571934
1982,,,5.35234875066743,,,5.90686776303639
1983,,,5.58420246919084,,,5.35234875066743
1984,,,5.75243025148993,,,5.58420246919084
1985,,,4.64724035659331,,,5.75243025148993
1986,,,5.53382776724771,,,4.64724035659331
1987,,,9.5189460221079,,,5.53382776724771
1988,,,13.2881140717644,,,9.5189460221079
1989,,,12.1905059866109,,,13.2881140717644
1990,,,11.1671634446293,,,12.1905059866109
1991,,,8.5582603212423,,,11.1671634446293
1992,,,8.08338802345332,,,8.5582603212423
1993,,,8.25191591524627,,,8.08338802345332
1994,120.45,97.49333333333334,7.99702466720433,,,8.25191591524627
1995,124.75833333333333,95.88,8.12031534625378,97.49333333333334,120.45,7.99702466720433
1996,127.68333333333334,102.13833333333334,5.65194446499471,95.88,124.75833333333333,8.12031534625378
1997,127.6,94.89416666666666,-2.75357515314082,102.13833333333334,127.68333333333334,5.65194446499471
1998,124.43333333333334,80.82000000000001,-7.63403528600102,94.89416666666666,127.6,-2.75357515314082
1999,125.475,83.83583333333333,4.57230775115542,80.82000000000001,124.43333333333334,-7.63403528600102
2000,132.74166666666667,80.37416666666667,4.45524704335014,83.83583333333333,125.475,4.57230775115542
2001,134.1916666666667,76.655,3.44424900968372,80.37416666666667,132.74166666666667,4.45524704335014
2002,131.11666666666667,78.81166666666667,6.14903605210036,76.655,134.1916666666667,3.44424900968372
2003,138.125,77.1275,7.18924330340971,78.81166666666667,131.11666666666667,6.14903605210036
2004,146.67499999999998,76.80583333333333,6.28934214285795,77.1275,138.125,7.18924330340971
2005,157.4,77.81750000000001,4.18763842884337,76.80583333333333,146.67499999999998,6.28934214285795
2006,164.75,84.3525,4.96781089246107,77.81750000000001,157.4,4.18763842884337
2007,172.65833333333333,95.46583333333332,5.43515169050809,84.3525,164.75,4.96781089246107
2008,189.59166666666667,89.85000000000001,1.72569884866334,95.46583333333332,172.65833333333333,5.43515169050809
2009,172.90833333333333,86.58833333333332,-0.690618232300579,89.85000000000001,189.59166666666667,1.72569884866334
2010,184.73333333333335,91.38083333333333,7.51339053261624,86.58833333333332,172.90833333333333,-0.690618232300579
2011,201.05,90.56916666666666,0.840132083053334,91.38083333333333,184.73333333333335,7.51339053261624
2012,202.15833333333333,90.95166666666667,7.24279620249642,90.56916666666666,201.05,0.840132083053334
2013,203.40833333333333,95.93916666666667,2.68749556320556,90.95166666666667,202.15833333333333,7.24279620249642
2014,205.3166666666667,93.11,0.984468863619426,95.93916666666667,203.40833333333333,2.68749556320556
2015,190.4416666666667,94.45166666666667,3.13404724911635,93.11,205.3166666666667,0.984468863619426
2016,185.375,91.48583333333333,3.43515771692182,94.45166666666667,190.4416666666667,3.13404724911635
2017,193.53333333333333,94.50416666666666,4.1776810321001,91.48583333333333,185.375,3.43515771692182
2018,201.95,97.22083333333335,4.22287028746071,94.50416666666666,193.53333333333333,4.1776810321001
2019,199.84166666666667,102.85083333333334,2.11455779628278,97.22083333333335,201.95,4.22287028746071
2020,194.375,100.0,-6.05003846851622,102.85083333333334,199.84166666666667,2.11455779628278
2021,227.34441666666663,94.44833333333332,1.55216608426647,100.0,194.375,-6.05003846851622
2022,264.481,93.83749999999999,2.58037874709827,94.44833333333332,227.34441666666663,1.55216608426647
2023,255.72991666666667,95.01333333333334,2.01775095328327,93.83749999999999,264.481,2.58037874709827
2024,,94.16833333333334,2.54182067735289,95.01333333333334,255.72991666666667,2.01775095328327
