year,REER_annual
1994,97.49333333333334
1995,95.88
1996,102.13833333333334
1997,94.89416666666666
1998,80.82000000000001
1999,83.83583333333333
2000,80.37416666666667
2001,76.655
2002,78.81166666666667
2003,77.1275
2004,76.80583333333333
2005,77.81750000000001
2006,84.3525
2007,95.46583333333332
2008,89.85000000000001
2009,86.58833333333332
2010,91.38083333333333
2011,90.56916666666666
2012,90.95166666666667
2013,95.93916666666667
2014,93.11
2015,94.45166666666667
2016,91.48583333333333
2017,94.50416666666666
2018,97.22083333333335
2019,102.85083333333334
2020,100.0
2021,94.44833333333332
2022,93.83749999999999
2023,95.01333333333334
2024,94.16833333333334
2025,98.15249999999999
2026,100.1
