sector,source,coef,stderr,pval,sig,direction
C16T18,OECD,0.2600595502817159,0.027750867943631338,9.321181604349249e-09,***,Positive
C16,OECD,0.3023537624690321,0.032723402396765564,1.1755632911558678e-08,***,Positive
C20,OECD,0.32063991970875766,0.03907228245436711,7.847860006293672e-08,***,Positive
C20_21,OECD,0.3174849437050399,0.03942775252488607,1.053827862751433e-07,***,Positive
C17_18,OECD,0.2312573294053981,0.030157983876550075,2.2286790768433207e-07,***,Positive
C23,OECD,0.3089025645615725,0.04415295193865154,8.665736954682757e-07,***,Positive
C19T23,OECD,0.3279409973419999,0.053879431075908445,5.992942631039e-06,***,Positive
A03,OECD,0.5184357540928995,0.09659415566244514,2.9729626725538694e-05,***,Positive
C21,OECD,0.22247492420100048,0.04478927495835744,7.41244601145663e-05,***,Positive
C241_2431,OECD,0.29407846361433376,0.06172880431658995,0.00011846717719565802,***,Positive
C27,OECD,0.21288175327390163,0.04490688646995774,0.0001251016849064257,***,Positive
C28,OECD,0.2262213793707308,0.052342737260653915,0.00033144686051267414,***,Positive
C25,OECD,0.23742337378287637,0.05935513193374995,0.0007034444231059922,***,Positive
H52,OECD,0.5972369746458547,0.16181155081594684,0.0014474298308280176,***,Positive
G,OECD,0.33272233420860065,0.0963716522550973,0.002517081694553003,***,Positive
C26_27,OECD,0.23308438855296146,0.07025712402832693,0.0034348097017420365,***,Positive
BTE,OECD,0.18663591701531357,0.05786191143119597,0.004241434930410959,***,Positive
C,OECD,0.18695669136528942,0.05825880277922183,0.004404053938431796,***,Positive
C22,OECD,0.3041830099297166,0.09783693276806647,0.005529781288755364,***,Positive
C26,OECD,0.24311132021611354,0.07980010188604696,0.006371457831359617,***,Positive
Grand Total,OECD,0.17670457416721644,0.061982031343729684,0.009877227540799005,***,Positive
adb_C29,ADB,3.925555069784629,1.1747980854605846,0.010208800448386457,**,Positive
C19,OECD,0.34835727428261176,0.12845511444571475,0.013423635630127162,**,Positive
C29,OECD,0.19740876776182734,0.07359918180018366,0.014324256451308637,**,Positive
INFO,OECD,0.20571908976519443,0.08353472839646066,0.022990291291705933,**,Positive
GTI,OECD,0.20000950775301668,0.08188845431928762,0.023997573365619917,**,Positive
C24_25,OECD,0.18990779621413664,0.08099324402695213,0.02947309291764766,**,Positive
J58T60,OECD,0.35800628682471025,0.15291136514865192,0.02968727471075061,**,Positive
N,OECD,-0.31065430316512754,0.14783179927519854,0.048481248875972716,**,Negative
GTN,OECD,0.17029362392281294,0.08248505503872719,0.052178415007015255,*,Positive
B09,OECD,-0.27512149194806884,0.13405359868323521,0.05345826613939075,*,Negative
D,OECD,0.17201877559890982,0.08419919131419534,0.05445442717566773,*,Positive
D_E,OECD,0.17125022367872056,0.08401708726783064,0.054964825189466104,*,Positive
C302T309,OECD,-0.3131989937444864,0.15764970123707384,0.06083151627691663,*,Negative
GTT,OECD,0.1608765683550447,0.08444438583676638,0.07124520453288197,*,Positive
FTT,OECD,0.1608743877340205,0.08444401481801093,0.07124759197328423,*,Positive
C29_30,OECD,0.12908389675752943,0.06851802715217502,0.07419460098693942,*,Positive
C30,OECD,-0.26281175823561664,0.14655863816839398,0.08807522502498788,*,Negative
C10T12,OECD,0.1339964372735467,0.07586424945454859,0.09261189642352008,*,Positive
