year,pure_ME_shock_annual,STMT_annual,PC_annual,ME_volatility_annual,n_events,dummy_dotcom,dummy_gfc,dummy_taper,dummy_covid
1998,-0.041527511981181625,-0.0036732129861814034,0.0,0.016141540415995193,9,0,0,0,0
1999,0.02628061472456037,0.041549883045260194,0.0,0.01679975390902864,8,0,0,0,0
2000,0.011095274863180524,0.04176483975527154,0.0,0.0038990415606282723,8,1,0,0,0
2001,-0.36316618773532,-0.4037006130657018,0.0,0.12073810970354593,11,1,0,0,0
2002,-0.03473721285216243,-0.042097330523981215,0.0,0.009117740275706417,8,0,0,0,0
2003,0.01608799260079019,0.05009310315695547,0.0,0.014717257489701058,8,0,0,0,0
2004,0.06174017512816104,0.07272944879156694,0.0,0.009869330266128266,8,0,0,0,0
2005,0.08442627564514098,0.07886965099200353,0.0,0.005161948878385291,8,0,0,0,0
2006,0.0731906908645808,0.06473447050332598,0.0,0.0051047627161277,8,0,0,0,0
2007,-0.06708192497847704,-0.03299929264493069,0.0,0.02091845995654131,10,0,0,0,0
2008,-0.031249090245057315,-0.139401366046954,0.0,0.05889233626040118,11,0,1,0,0
2009,-0.022287412093732358,-0.0105589566160345,0.0,0.004201539937828615,8,0,1,0,0
2010,-0.009139057669795099,0.009839649513137412,0.0,0.0012101070476348327,9,0,0,0,0
2011,0.024782044095492017,0.02315882299565082,0.006475861610771193,0.003603478538882053,8,0,0,0,0
2012,0.017957815663162277,0.03350239470630066,0.008920374745244163,0.0009507590752780201,8,0,0,0,0
2013,0.022574785302074983,0.022757285951349925,0.01018225131045029,0.0006456320901497736,8,0,0,1,0
2014,0.03149804952097424,0.039399784195227654,0.010826070925274317,0.0015132099104227172,8,0,0,0,0
2015,-0.05007493262448995,-0.03638414853719425,-0.017500311373582666,0.007145804867301488,8,0,0,0,0
2016,-0.045963294540951626,-0.045589496618127036,-0.006200315887756049,0.006270173586664077,8,0,0,0,0
2017,0.0004441779277101602,0.006978158686504074,0.007360362096350608,0.0025270540030022303,8,0,0,0,0
2018,0.018921568369468116,0.02914994518312075,-0.0015874414284650922,0.0008137747829738116,8,0,0,0,0
2019,-0.005957803501685014,-0.015269071460828803,0.03544610325985337,0.013322981669997923,9,0,0,0,0
2020,0.004263272275497967,-0.14482024983531494,-0.0005267266580740305,0.01679135190904418,13,0,0,0,1
2021,0.029577975473766532,0.03278759106123031,0.012943521928409044,0.0013579658589580402,8,0,0,0,1
2022,-0.02603816084410794,0.08868707367605318,-0.10128051292767332,0.02468552693410804,8,0,0,0,0
